X,Y,Reachability_Distance
13594668.63,4509721.99,1.043227684605754
13594668.56,4509721.717,0.9741606639110602
13594669.8,4509721.204,0.9600520828219529
13594668.8,4509721.264,0.9741606639110602
13594668.23,4509721.193,0.9741606639110602
13594668.29,4509720.877,0.9741606639110602
13594668.87,4509722.4,1.0811849981168764
13594668.27,4509722.381,0.9751210182905813
13594668.13,4509722.015,1.0160708627377188
13594669.57,4509721.372,0.9600520828219529
13594668.63,4509721.618,0.9741606639110602
13594668.27,4509722.381,0.9751210182905813
13594668.59,4509723.282,0.9751210182905813
13594668.59,4509723.851,0.956138588008642
13594668.52,4509724.724,1.25756749377382
13594668.56,4509723.343,0.956138588008642
13594668.53,4509724.159,0.956138588008642
13594668.52,4509721.76,1.015373822294086
13594668.43,4509722.468,0.956138588008642
13594668.41,4509723.357,0.956138588008642
13594668.6,4509724.158,0.956138588008642
13594668.54,4509722.578,0.956138588008642
13594667.72,4509722.962,0.956138588008642
13594668.43,4509723.766,0.956138588008642
13594668.5,4509723.332,0.956138588008642
13594668.69,4509722.995,0.956138588008642
13594669.87,4509722.757,1.0033289573513766
13594669.17,4509722.82,0.956138588008642
13594669.14,4509723.82,0.956138588008642
13594668.3,4509723.725,0.956138588008642
13594668.61,4509723.174,0.956138588008642
13594666.29,4509725.462,2.084490584761208
13594666.46,4509727.193,2.30329242569641
13594666.46,4509727.193,2.30329242569641
13594667.77,4509726.143,2.0382651941763483
13594667.55,4509727.554,2.4180562440843634
13594667.55,4509729.433,3.2973474187171425
13594666.44,4509730.868,4.303184402052277
13594665.56,4509730.092,3.978811882520625
13594668.36,4509728.05,2.965203028875142
13594664.32,4509730.687,4.303184402052277
13594662.84,4509731.507,4.415685224457376
13594662.61,4509730.297,4.844401820485984
13594661.16,4509730.959,4.415685224457376
13594661.55,4509731.892,3.178307096396052
13594661.74,4509730.115,3.178307096396052
13594659.47,4509730.958,3.178307096396052
13594657.07,4509730.903,1.0018103605800028
13594656.15,4509730.955,1.1319403690903764
13594657.91,4509731.056,1.8055126703530695
13594657.07,4509730.903,1.0018103605800028
13594656.43,4509730.7,1.1033929488226621
13594658.53,4509730.44,1.0018103605800028
13594657.69,4509730.365,1.0018103605800028
13594657.06,4509730.265,1.0082207095330034
13594658.25,4509731.812,1.0018103605800028
13594657.54,4509731.591,1.0018103605800028
13594656.89,4509731.574,1.036400018552618
13594657.22,4509730.39,1.0018103605800028
13594657.23,4509729.726,1.0607926290894698
13594656.53,4509731.431,1.0949228279826562
13594658.99,4509731.758,1.0575916038053557
13594658.86,4509731.096,1.0018103605800028
13594658.94,4509729.91,1.1099999996304915
13594658.65,4509728.963,1.2583246793838798
13594658.07,4509731.703,1.0018103605800028
13594657.92,4509730.706,1.0018103605800028
13594658.56,4509730.44,1.0018103605800028
13594658.15,4509731.269,1.0018103605800028
13594659.01,4509729.624,1.2583246793838798
13594657.85,4509731.987,1.0018103605800028
13594657.49,4509729.438,1.091100362077962
13594656.65,4509729.438,1.1994482066849044
13594659.01,4509731.679,1.0575916038053557
13594658.42,4509731.654,1.0018103605800028
13594658.86,4509730.632,1.0082207095330034
13594658.07,4509730.558,1.0018103605800028
13594657.01,4509730.482,1.0082207095330034
13594658.4,4509731.581,1.0018103605800028
13594659.72,4509730.909,1.298123646085097
13594657.28,4509730.521,1.0018103605800028
13594656.94,4509729.911,1.0607926290894698
13594656.8,4509731.628,1.0949228279826562
13594658.2,4509730.073,1.0082207095330034
13594657.62,4509730.036,1.0082207095330034
13594657.44,4509731.431,1.0018103605800028
13594659.35,4509731.143,1.1644230338227486
13594658.39,4509730.953,1.0018103605800028
13594657.82,4509731.195,1.0018103605800028
13594657.0,4509730.937,1.0018103605800028
13594656.13,4509730.901,1.1319403690903764
13594657.39,4509732.657,1.2270191520007805
13594656.55,4509732.559,1.3333041652965356
13594657.71,4509729.508,1.0607926290894698
13594657.23,4509731.168,1.0018103605800028
13594658.1,4509732.134,1.036400018552618
13594658.07,4509731.298,1.0018103605800028
13594658.73,4509730.999,1.0018103605800028
13594658.4,4509730.772,1.0018103605800028
13594656.78,4509730.269,1.0607926290894698
13594657.14,4509731.972,1.036400018552618
13594656.0,4509731.583,1.190510814580954
13594657.41,4509729.423,1.0949228279826562
13594657.82,4509730.478,1.0018103605800028
13594657.47,4509731.788,1.0018103605800028
13594657.49,4509730.648,1.0018103605800028
13594658.96,4509731.949,1.0575916038053557
13594658.86,4509730.738,1.0018103605800028
