X,Y,Reachability_Distance,Core_Distance,Core_points_index
13594658.56,4509730.44,7.873506460291789,1.3409325112305819,273
13594658.15,4509731.269,8.420589586381732,1.0575916038053557,274
13594659.01,4509729.624,7.362249927246225,1.948719836542154,275
13594657.85,4509731.987,8.891986560493853,1.3865500347022588,276
13594657.49,4509729.438,8.88000089985765,1.7494284775915063,277
13594656.65,4509729.438,9.720000821853027,2.130353021622233,278
13594659.01,4509731.679,7.692448829210772,1.6907102050211984,279
13594658.42,4509731.654,8.25199636387699,1.3189101554937062,280
13594658.86,4509730.632,7.603696469324512,1.370093426649771,281
13594658.07,4509730.558,8.374691396243374,1.1099999996304915,282
13594657.01,4509730.482,9.417600543074625,1.1994482066849044,283
13594658.4,4509731.581,8.252043442859877,1.246197817503065,284
13594659.72,4509730.909,6.809889057885312,2.031015756331518,285
13594657.28,4509730.521,9.153815652344,1.147780903491074,286
13594656.94,4509729.911,9.441655627846979,1.6637514835220424,287
13594656.8,4509731.628,9.816491021183598,1.39691839362524,288
13594658.2,4509730.073,8.194331028146738,1.2583246793838798,289
13594657.62,4509730.036,8.770138881488815,1.339829840415977,290
13594657.44,4509731.431,9.148826208586236,1.0949228279826562,291
13594659.35,4509731.143,7.223143428931405,1.7211438055209491,292
13594658.39,4509730.953,8.121792965671235,1.1665144666977971,293
13594657.82,4509731.195,8.727858212792718,1.036400018552618,294
13594657.0,4509730.937,9.488515425764746,1.190510814580954,295
13594656.13,4509730.901,10.343417276985575,1.786735850005163,296
13594657.39,4509732.657,9.538166751195824,2.0217074459529463,297
13594656.55,4509732.559,10.30281946715111,2.1647965263610587,298
13594657.71,4509729.508,8.660251495793618,1.608065917866633,299
13594657.23,4509731.168,9.301541591377552,1.1319403690903764,300
13594658.1,4509732.134,8.697112393867465,1.605073517889414,301
13594658.07,4509731.298,8.504983009019824,1.075186030593119,302
13594658.73,4509730.999,7.7970410400830374,1.298123646085097,303
13594658.4,4509730.772,8.080210392136843,1.1644230338227486,304
13594656.78,4509730.269,9.625592397249754,1.3925070922524028,305
13594657.14,4509731.972,9.570464982182806,1.486995628278727,306
13594656.0,4509731.583,10.588710071688075,2.0895274587302985,307
13594657.41,4509729.423,8.96002014409677,1.754259102023539,308
13594657.82,4509730.478,8.612537139631831,1.0607926290894698,309
13594657.47,4509731.788,9.204005430953497,1.377372861318774,310
13594657.49,4509730.648,8.961519736185931,1.1033929488226621,311
13594658.96,4509731.949,7.822604999339243,1.7222554980080167,312
13594658.86,4509730.738,7.621004920407446,1.3729530209470289,313
